Model,Category,ReportType,F1,Precision,Recall,Support
LR,All,No-Accident,0.863,0.9577,0.9079,1984
LR,All,Accident,0.7319,0.4319,0.5432,531
LR,All,MacroAvg,0.7974,0.6948,0.7255,2515
LR,All,MicroAvg,0.8467,0.8467,0.8467,2515
LR,All,WeightedAvg,0.8353,0.8467,0.8309,2515
LR,traffic,No-Accident,0.8203,0.9713,0.8895,1984
LR,traffic,Accident,0.6566,0.2053,0.3128,531
LR,traffic,MacroAvg,0.7385,0.5883,0.6011,2515
LR,traffic,MicroAvg,0.8095,0.8095,0.8095,2515
LR,traffic,WeightedAvg,0.7858,0.8095,0.7677,2515
LR,time,No-Accident,0.7889,1.0,0.882,1984
LR,time,Accident,0.0,0.0,0.0,531
LR,time,MacroAvg,0.3944,0.5,0.441,2515
LR,time,MicroAvg,0.7889,0.7889,0.7889,2515
LR,time,WeightedAvg,0.6223,0.7889,0.6958,2515
LR,weather,No-Accident,0.7889,1.0,0.882,1984
LR,weather,Accident,0.0,0.0,0.0,531
LR,weather,MacroAvg,0.3944,0.5,0.441,2515
LR,weather,MicroAvg,0.7889,0.7889,0.7889,2515
LR,weather,WeightedAvg,0.6223,0.7889,0.6958,2515
LR,geohash,No-Accident,0.827,0.9688,0.8923,1984
LR,geohash,Accident,0.6754,0.2429,0.3573,531
LR,geohash,MacroAvg,0.7512,0.6058,0.6248,2515
LR,geohash,MicroAvg,0.8155,0.8155,0.8155,2515
LR,geohash,WeightedAvg,0.795,0.8155,0.7793,2515
LR,NLP,No-Accident,0.827,0.9688,0.8923,1984
LR,NLP,Accident,0.6754,0.2429,0.3573,531
LR,NLP,MacroAvg,0.7512,0.6058,0.6248,2515
LR,NLP,MicroAvg,0.8155,0.8155,0.8155,2515
LR,NLP,WeightedAvg,0.795,0.8155,0.7793,2515
