Model,Category,ReportType,F1,Precision,Recall,Support
LR,All,No-Accident,0.9006,0.9596,0.9292,3863
LR,All,Accident,0.7153,0.4894,0.5812,801
LR,All,MacroAvg,0.808,0.7245,0.7552,4664
LR,All,MicroAvg,0.8789,0.8789,0.8789,4664
LR,All,WeightedAvg,0.8688,0.8789,0.8694,4664
LR,traffic,No-Accident,0.8535,0.9816,0.9131,3863
LR,traffic,Accident,0.6787,0.1873,0.2935,801
LR,traffic,MacroAvg,0.7661,0.5844,0.6033,4664
LR,traffic,MicroAvg,0.8452,0.8452,0.8452,4664
LR,traffic,WeightedAvg,0.8235,0.8452,0.8067,4664
LR,time,No-Accident,0.8283,1.0,0.9061,3863
LR,time,Accident,0.0,0.0,0.0,801
LR,time,MacroAvg,0.4141,0.5,0.453,4664
LR,time,MicroAvg,0.8283,0.8283,0.8283,4664
LR,time,WeightedAvg,0.686,0.8283,0.7505,4664
LR,weather,No-Accident,0.8285,0.9992,0.9059,3863
LR,weather,Accident,0.4,0.0025,0.005,801
LR,weather,MacroAvg,0.6143,0.5009,0.4554,4664
LR,weather,MicroAvg,0.828,0.828,0.828,4664
LR,weather,WeightedAvg,0.7549,0.828,0.7512,4664
LR,geohash,No-Accident,0.8739,0.9563,0.9132,3863
LR,geohash,Accident,0.6133,0.3346,0.433,801
LR,geohash,MacroAvg,0.7436,0.6454,0.6731,4664
LR,geohash,MicroAvg,0.8495,0.8495,0.8495,4664
LR,geohash,WeightedAvg,0.8291,0.8495,0.8307,4664
LR,NLP,No-Accident,0.8572,0.9759,0.9127,3863
LR,NLP,Accident,0.6504,0.216,0.3243,801
LR,NLP,MacroAvg,0.7538,0.596,0.6185,4664
LR,NLP,MicroAvg,0.8454,0.8454,0.8454,4664
LR,NLP,WeightedAvg,0.8217,0.8454,0.8117,4664
