Model,Category,ReportType,F1,Precision,Recall,Support
LR,All,No-Accident,0.8669,0.9486,0.9059,3446
LR,All,Accident,0.7117,0.4654,0.5628,939
LR,All,MacroAvg,0.7893,0.707,0.7343,4385
LR,All,MicroAvg,0.8452,0.8452,0.8452,4385
LR,All,WeightedAvg,0.8337,0.8452,0.8324,4385
LR,traffic,No-Accident,0.8267,0.9701,0.8927,3446
LR,traffic,Accident,0.6979,0.2535,0.3719,939
LR,traffic,MacroAvg,0.7623,0.6118,0.6323,4385
LR,traffic,MicroAvg,0.8166,0.8166,0.8166,4385
LR,traffic,WeightedAvg,0.7991,0.8166,0.7811,4385
LR,time,No-Accident,0.7907,0.9919,0.8799,3446
LR,time,Accident,0.5484,0.0362,0.0679,939
LR,time,MacroAvg,0.6695,0.514,0.4739,4385
LR,time,MicroAvg,0.7872,0.7872,0.7872,4385
LR,time,WeightedAvg,0.7388,0.7872,0.706,4385
LR,weather,No-Accident,0.7856,0.9962,0.8785,3446
LR,weather,Accident,0.1333,0.0021,0.0042,939
LR,weather,MacroAvg,0.4595,0.4992,0.4413,4385
LR,weather,MicroAvg,0.7834,0.7834,0.7834,4385
LR,weather,WeightedAvg,0.6459,0.7834,0.6912,4385
LR,geohash,No-Accident,0.8164,0.9692,0.8863,3446
LR,geohash,Accident,0.6395,0.2002,0.3049,939
LR,geohash,MacroAvg,0.7279,0.5847,0.5956,4385
LR,geohash,MicroAvg,0.8046,0.8046,0.8046,4385
LR,geohash,WeightedAvg,0.7785,0.8046,0.7618,4385
LR,NLP,No-Accident,0.8262,0.9591,0.8877,3446
LR,NLP,Accident,0.6338,0.2599,0.3686,939
LR,NLP,MacroAvg,0.73,0.6095,0.6282,4385
LR,NLP,MicroAvg,0.8094,0.8094,0.8094,4385
LR,NLP,WeightedAvg,0.785,0.8094,0.7766,4385
