Model,Category,ReportType,F1,Precision,Recall,Support
LR,All,No-Accident,0.9029,0.9843,0.9418,4723
LR,All,Accident,0.6214,0.1961,0.2982,622
LR,All,MacroAvg,0.7621,0.5902,0.62,5345
LR,All,MicroAvg,0.8925,0.8925,0.8925,5345
LR,All,WeightedAvg,0.8701,0.8925,0.8669,5345
LR,traffic,No-Accident,0.8906,0.9932,0.9391,4723
LR,traffic,Accident,0.5897,0.074,0.1314,622
LR,traffic,MacroAvg,0.7402,0.5336,0.5353,5345
LR,traffic,MicroAvg,0.8862,0.8862,0.8862,5345
LR,traffic,WeightedAvg,0.8556,0.8862,0.8451,5345
LR,time,No-Accident,0.8836,1.0,0.9382,4723
LR,time,Accident,0.0,0.0,0.0,622
LR,time,MacroAvg,0.4418,0.5,0.4691,5345
LR,time,MicroAvg,0.8836,0.8836,0.8836,5345
LR,time,WeightedAvg,0.7808,0.8836,0.829,5345
LR,weather,No-Accident,0.8836,0.9996,0.938,4723
LR,weather,Accident,0.0,0.0,0.0,622
LR,weather,MacroAvg,0.4418,0.4998,0.469,5345
LR,weather,MicroAvg,0.8833,0.8833,0.8833,5345
LR,weather,WeightedAvg,0.7808,0.8833,0.8289,5345
LR,geohash,No-Accident,0.8911,0.9873,0.9367,4723
LR,geohash,Accident,0.4643,0.0836,0.1417,622
LR,geohash,MacroAvg,0.6777,0.5354,0.5392,5345
LR,geohash,MicroAvg,0.8821,0.8821,0.8821,5345
LR,geohash,WeightedAvg,0.8414,0.8821,0.8442,5345
LR,NLP,No-Accident,0.8836,1.0,0.9382,4723
LR,NLP,Accident,0.0,0.0,0.0,622
LR,NLP,MacroAvg,0.4418,0.5,0.4691,5345
LR,NLP,MicroAvg,0.8836,0.8836,0.8836,5345
LR,NLP,WeightedAvg,0.7808,0.8836,0.829,5345
