Model,Category,ReportType,F1,Precision,Recall,Support
LR,All,No-Accident,0.913,0.9717,0.9415,7326
LR,All,Accident,0.6766,0.3897,0.4946,1111
LR,All,MacroAvg,0.7948,0.6807,0.718,8437
LR,All,MicroAvg,0.8951,0.8951,0.8951,8437
LR,All,WeightedAvg,0.8819,0.8951,0.8826,8437
LR,All,No-Accident,0.913,0.9717,0.9415,7326
LR,All,Accident,0.6766,0.3897,0.4946,1111
LR,All,MacroAvg,0.7948,0.6807,0.718,8437
LR,All,MicroAvg,0.8951,0.8951,0.8951,8437
LR,All,WeightedAvg,0.8819,0.8951,0.8826,8437
LR,traffic,No-Accident,0.8853,0.9854,0.9327,7326
LR,traffic,Accident,0.6219,0.1584,0.2525,1111
LR,traffic,MacroAvg,0.7536,0.5719,0.5926,8437
LR,traffic,MicroAvg,0.8765,0.8765,0.8765,8437
LR,traffic,WeightedAvg,0.8506,0.8765,0.8431,8437
LR,traffic,No-Accident,0.8853,0.9854,0.9327,7326
LR,traffic,Accident,0.6219,0.1584,0.2525,1111
LR,traffic,MacroAvg,0.7536,0.5719,0.5926,8437
LR,traffic,MicroAvg,0.8765,0.8765,0.8765,8437
LR,traffic,WeightedAvg,0.8506,0.8765,0.8431,8437
LR,time,No-Accident,0.8683,1.0,0.9295,7326
LR,time,Accident,0.0,0.0,0.0,1111
LR,time,MacroAvg,0.4342,0.5,0.4648,8437
LR,time,MicroAvg,0.8683,0.8683,0.8683,8437
LR,time,WeightedAvg,0.754,0.8683,0.8071,8437
LR,time,No-Accident,0.8683,1.0,0.9295,7326
LR,time,Accident,0.0,0.0,0.0,1111
LR,time,MacroAvg,0.4342,0.5,0.4648,8437
LR,time,MicroAvg,0.8683,0.8683,0.8683,8437
LR,time,WeightedAvg,0.754,0.8683,0.8071,8437
LR,weather,No-Accident,0.8683,1.0,0.9295,7326
LR,weather,Accident,0.0,0.0,0.0,1111
LR,weather,MacroAvg,0.4342,0.5,0.4648,8437
LR,weather,MicroAvg,0.8683,0.8683,0.8683,8437
LR,weather,WeightedAvg,0.754,0.8683,0.8071,8437
LR,geohash,No-Accident,0.8845,0.9794,0.9295,7326
LR,geohash,Accident,0.5354,0.1566,0.2423,1111
LR,geohash,MacroAvg,0.7099,0.568,0.5859,8437
LR,geohash,MicroAvg,0.871,0.871,0.871,8437
LR,geohash,WeightedAvg,0.8385,0.871,0.839,8437
LR,weather,No-Accident,0.8683,1.0,0.9295,7326
LR,weather,Accident,0.0,0.0,0.0,1111
LR,weather,MacroAvg,0.4342,0.5,0.4648,8437
LR,weather,MicroAvg,0.8683,0.8683,0.8683,8437
LR,weather,WeightedAvg,0.754,0.8683,0.8071,8437
LR,geohash,No-Accident,0.8845,0.9794,0.9295,7326
LR,geohash,Accident,0.5354,0.1566,0.2423,1111
LR,geohash,MacroAvg,0.7099,0.568,0.5859,8437
LR,geohash,MicroAvg,0.871,0.871,0.871,8437
LR,geohash,WeightedAvg,0.8385,0.871,0.839,8437
LR,NLP,No-Accident,0.8796,0.9884,0.9308,7326
LR,NLP,Accident,0.5854,0.108,0.1824,1111
LR,NLP,MacroAvg,0.7325,0.5482,0.5566,8437
LR,NLP,MicroAvg,0.8725,0.8725,0.8725,8437
LR,NLP,WeightedAvg,0.8409,0.8725,0.8323,8437
LR,NLP,No-Accident,0.8796,0.9884,0.9308,7326
LR,NLP,Accident,0.5854,0.108,0.1824,1111
LR,NLP,MacroAvg,0.7325,0.5482,0.5566,8437
LR,NLP,MicroAvg,0.8725,0.8725,0.8725,8437
LR,NLP,WeightedAvg,0.8409,0.8725,0.8323,8437
